CompanyID,KnownJobs
61,
62,
63,
64,
65,
66,
67,|R28817|R27632|R27915|R27841|R27075|R28874|R27814
68,|210444854|210443350|210442991|210444120|210439794|210439799|210443636|210444520|210443871|210444079|210432969|210444047|210440626|210443551|210432486|210442412|210443566|210435192|210445018|210419409|210443798|210440566|210439344|210423072|210445000|210443095|210444376|210440440|210427225|210396211|210428112|210430062|210444954|210442037|210443116|210439219|210444469|210437652|210443178|210443878|210433231|210438415|210442698|210442963|210443174|210425801|210443080|210444805|210394038|210442675|210437665|210440512|210398110|210420241|210414832|210396588|210443598|210433873|210435820|210405603|210444419|210439051|210400994|210442355|210437407|210385856|210399880|210422808|210443466|210424910|210443318|210443388|210437984|210424129|210442429|210440809|210432961|210437593|210439353|210437177|210437663|210404537|210439471|210404047|210441030|210443361|210441017|210439050|210437655|210442762|210444021|210443320|210443323|210439197|210439238|210439265|210435170|210440934|210437558|210439421|210439052|210430856|210435805|210395694|210443579|210445641|210435182|210433297|210442686|210409218|210408218|210426720|210395786|210445348|210430301|210415126|210441949|210395735|210401052|210424948|210426182|210445603|210445302|210439651|210445845|210445277|210443979|210444880|210444871|210438034|210445684|210433677|210445990|210445733|210444071|210445826|210444659|210444401|210396526|210413814|210446589|210446324|210419337|210446058|210435365|210402074|210444516|210445398|210446115|210447099|210446553|210446933|210433875|210437924|210417071|210362698|210443076|210444445|210443094|210444517|210447788|210446319|210412785|210444486|210437476|210429731|210415675|210436238|210447571|210421533|210448713|210446496|210446198|210413529|210448693|210426738|210447781|210445728|210433803|210438129|210437126|210447821|210426036|210438845|210428592|210428596|210386560|210446315|210439801|210440025|210447983|210446149|210443219|210447899|210447914|210443222|210442996|210437166|210447570|210436655|210416289|210411919|210446866|210446490|210447017|210412173|210413259|210437048|210444268|210412113|210447502|210422090|210437513|210438421|210445194|210444928|210442760|210444463|210444514|210447100|210447014|210446758|210405750|210446751|210446903|210445317|210446458|210442161|210439907|210446178|210445272|210416389|210407293|210444518|210446899|210447887|210428671|210445633|210448571|210448982|210447927|210448202|210448001|210448578|210447817|210447807|210448970|210434669|210439288|210448861|210438579|210449072|210438580|210438900|210443336|210447030|210448837|210449101|210394274|210448862|210448863|210447400|210449108|210448722|210448842|210435052|210448845|210446539|210449096|210449053|210449425|210432514|210437131|210449500|210445758|210435221|210431169|210449169|210442176|210414799|210449382|210413490|210448376|210446901|210449613|210447967|210448782|210446337|210449816|210449577|210449997|210431093|210426173|210429086|210437045|210448798|210449069|210449065|210448945|210449582|210450249|210450309|210450312|210430553|210443420|210433790|210438572|210450063|210450489|210412869|210409349|210396303|210433156|210450754|210399941|210399944|210399940|210434293|210447095|210448163|210449819|210449566|210449743|210450657|210450484|210449597|210449420|210450748|210448909|210449528|210449587|210449840|210449070|210450222|210449444|210434069|210449562|210451194|210449979|210430533|210445369|210445357|210449994|210450564|210449010|210450467|210448323|210445635|210451659|210451335|210451086|210451317|210451760|210400906|210430559|210451453|210451442|210450541|210450540|210452242|210449947|210380425|210451678|210446420|210437239|210449226|210451447|210452655|210432858|210431573|210452704|210449890|210450447|210450875|210450883|210450927|210451680|210450924|210450264|210449919|210448753|210451072|210426129|210451042|210382527|210449585|210438041|210451858|210450679|210452761|210450932|210452741|210450928|210453009|210451891|210451897|210434329|210453261|210451566|210426049|210451182|210452218|210450305|210442431|210448363|210453016|210431821|210453634|210453645|210453662|210448154|210450075|210450363|210382595|210450698|210451888|210453722|210417762|210453275|210403413|210450462|210449048|210452173|210451664|210453043|210453006|210452122|210453989|210452823|210453291|210452748|210453388|210452743|210452750|210453762|210452744|210452749|210440896|210453764|210453697|210454672|210447799|210452756|210448899|210453874|210454694|210422851|210422967|210399876|210385533|210454318|210418394|210437123|210447904|210389336|210455054|210436996|210432601|210455459|210455294|210455311|210454577|210455404|210453418|210455420|210451202|210453079|210450793|210440599|210449034|210455305|210454540|210446976|210454692|210455908|210455765|210456235|210454945|210454848|210454851|210454293|210454265|210453430|210454504|210454958|210455033|210454747|210455376|210455564|210435165|210448933|210455832|210456645|210456784|210456179|210397149|210456778|210456781|210455434|210455710|210444061|210455697|210456543|210457397|210386844|210456605|210456608|210398323|210457512|210457082|210457678|210457890|210458159|210457828|210457835|210456220|210456221|210456223|210456226|210456228|210458202|210454025|210454541|210456930|210456883|210458246|210452971|210456858|210457394|210457251|210457097|210457679|210429526|210457483|210457264|210452900|210458406|210455830|210457032|210455491|210459077|210429828|210457020|210454005|210458443|210458448|210457746|210387863|210458077|210446263|210458595|210459579|210459541|210459591|210459586|210449022|210459997|210439371|210456547|210455326|210459148|210459565|210453236|210451451|210459590|210454978|210451660|210460145|210457318|210450269|210460253|210460242|210440689|210460284|210460288|210451655|210459081|210459082|210458815|210437950|210460547|210459446|210458767|210458878|210458226|210457469|210460323|210460600|210440104|210460932|210456949|210454938|210457454|210461270|210461246|210460172|210456166|210456338|210457727|210461594|210431858|210458271|210457957|210447662|210452009|210460371|210461213|210435461|210460745|210460960|210460962|210441168|210459964|210460818|210460417|210460088|210460105|210460106|210443241|210460411|210455295|210439118|210434888|210452940|210459140|210460142|210459359|210441435|210460198|210460395|210459637|210452116|210453143|210459323|210438782|210443741|210432253|210442858|210456490|210461251|210460506|210461531|210458711|210461358|210458800|210461577|210460999|210455077|210461484|210461666|210459078|210459166|210462136|210461931|210461933|210459319|210460674|210460263|210461690|210462035|210462037|210461234|210458950|210421108|210438491|210460954|210462650|210458604|210458603|210457047|210441518|210441516|210461030|210461331|210462548|210463332|210463192|210460120|210437986|210461654|210462984|210462978|210461526|210462671|210463008|210463035|210461984|210461016|210462729|210462384|210462721|210461247|210461241|210460596|210450104|210461166|210463308|210463090|210464077|210464133|210463995|210463773|210463770|210454928|210449232|210452958|210461314|210463746|210463993|210463469|210464154|210464161|210464643|210464642|210464506|210465323|210463761|210463659|210464903|210465047|210464776|210464828|210464847|210465403|210445870|210460261|210458518|210461469|210454392|210460543|210463782|210462024|210464718|210463007|210442231|210463466|210465215|210464721|210465199|210466254|210465336|210465840|210465500|210463463|210465014|210462734|210465989|210463108|210451650|210451652|210466462|210465640|210464267|210463740|210463736|210465391|210464092|210465396|210464635|210465488|210464189|210464279|210464282|210464305|210465945|210464917|210427210|210466428|210464271|210458605|210466212|210465499|210428620|210466678|210461326|210466242|210467239|210465201|210467089|210453055|210465752|210467319|210468373|210465809|210467190|210467688|210463591|210467776|210468220|210463769|210468698|210468239|210465022|210467021|210465353|210469107|210465328|210467355|210466929|210469209|210469124|210468668|210467751|210467697|210468992|210467712|210467385|210467220|210469519|210395372|210462674|210458289|210447216|210469043|210468784|210469068|210469051|210469138|210469140|210462081|210467162|210464193|210467816|210468765|210465807|210468198|210468848|210452399|210469041|210469061|210469062|210466163|210465540|210465271|210467557|210454201|210456035|210452365|210466157|210454101|210466697|210467854|210447704|210423412|210389706|210468225|210457675|210461477|210469191|210468429|210468351|210467201|210466178|210469122|210468389|210466025|210463006|210467350|210469555|210469493|210463235|210470295|210468990|210469309|210470263|210470901|210469481|210468849|210469662|210468330|210468872|210470338|210469720|210470212|210471111|210471118|210470199|210467749|210467741|210467745|210467748|210471412
69,|R-165222|R-174129|R-175744|R-169619|R-178337|R-178498|R-179954|R-182667|R-182072
70,|5396738|5464221
